Sales Order;Delivery Note;Invoice;Posting Date;Due Date;Customer;Qty;UOM;Territory;Sales Term;Grand Total
SO05429;DN04664;INV03695;2012-12-29;2012-12-28;Rezeki Makmur T . Balai 1;500;Sak;Serkibata;S Terms CBD;20000001.17
SO05462;DN04663;INV03694;2012-12-29;2012-12-28;Maju Jaya Tebing 1;500;Sak;Serkibata;S Terms CBD;20250000.93
SO05466-1;DN04662;INV03692;2012-12-29;2013-01-12;Pursida Siantar 1;500;Sak;Sibatopasa;S Terms TOP 14 Day;20125000.44
SO05418;DN04660;INV03690;2012-12-29;2012-12-28;Subur Sunggal 1;500;Sak;Medan;S Terms CBD;20000001.17
SO05432;DN04659;INV03689;2012-12-28;2012-12-27;Hartono Perdagangan 1;500;Sak;Serkibata;S Terms CBD;19150000.09
SO05394-1;DN04657;INV03687;2012-12-28;2013-01-27;Sumber Ilham Medan 1;500;Sak;Medan;S Terms TOP 30 Day;20250001.30
SO05452;DN04655;INV03685;2012-12-28;2013-01-11;Indomas Kisaran 1;500;Sak;Serkibata;S Terms TOP 14 Day;20125000.44
SO05468-1;DN04654;INV03684;2012-12-28;2013-01-11;Sinar Terang Aek Kanopan 1;500;Sak;Rapakoba;S Terms TOP 14 Day;20750000.16
SO05490;DN04653;INV03683;2012-12-28;2013-01-11;Adek Rantau Prapat 1;500;Sak;Rapakoba;S Terms TOP 14 Day;21250000.14
SO05464;DN04652;INV03682;2012-12-28;2012-12-27;Permata Indah Patumbak 1;500;Sak;Medan;S Terms CBD;20000001.17
SO05443;DN04651;INV03681;2012-12-28;2012-12-27;Ikbal Jaya Martubung 1;500;Sak;Medan;S Terms CBD;20000001.17
